date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:23:26	659961/659961	---M-Z	200	added ('OK')	text/html	etag:%222de9831f341443e71d1e9b33ede1fc1f%22	https://greenlly.framer.website/	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/index.html	(from )
12:23:26	101/101	---M-Z	200	added ('OK')	text/plain	etag:%228cd32ba984b5f90261b2c4bdadd38014%22	https://greenlly.framer.website/robots.txt		(from )
12:23:27	221895/221895	---MC-	200	added ('OK')	image/png	etag:%228f427e6d7aecb75e758236dfc3a5af0f%22	https://framerusercontent.com/images/EATpWLzJqRtiFtckEs89GR5g.png	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/EATpWLzJqRtiFtckEs89GR5g.png	(from https://greenlly.framer.website/)
12:23:27	537517/537517	---M-Z	200	added ('OK')	text/html	etag:%22e198149a7927b689a6681ae394c44815%22	https://greenlly.framer.website/about	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/about.html	(from https://greenlly.framer.website/)
12:23:28	324281/324281	---M-Z	200	added ('OK')	text/html	etag:%2202a1d34374b18b4f540a87b2262af6bc%22	https://greenlly.framer.website/service	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/service.html	(from https://greenlly.framer.website/)
12:23:28	261917/261917	---M-Z	200	added ('OK')	text/html	etag:%2264506bb7455b70997428b2d938211e42%22	https://greenlly.framer.website/contact-us	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/contact-us.html	(from https://greenlly.framer.website/)
12:23:29	2172725/2172725	---MC-	200	added ('OK')	image/png	etag:%22459365e263814a627fb2922af56c0e7b%22	https://framerusercontent.com/images/RykEOmDygykvl73NTiDUgPL2B8.png?width=2880&height=1854	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/RykEOmDygykvl73NTiDUgPL2B8c430.png	(from https://greenlly.framer.website/)
12:23:29	112185/112185	---MC-	200	added ('OK')	image/png	etag:%226d3ef664eec8df4e5c2ca84b655d2c77%22	https://framerusercontent.com/images/X3WzvzPQbwxnN6yFf37NWmLwY.png?width=552&height=320	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/X3WzvzPQbwxnN6yFf37NWmLwY8fbc.png	(from https://greenlly.framer.website/)
12:23:30	406189/406189	---MC-	200	added ('OK')	image/png	etag:%222fb15943a39bc4771d8471ce26bfe80d%22	https://framerusercontent.com/images/9C8LdinQbsFihgbYjeigXcuUuA.png?width=884&height=976	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/9C8LdinQbsFihgbYjeigXcuUuA9c15.png	(from https://greenlly.framer.website/)
12:23:30	277286/277286	---M-Z	200	added ('OK')	text/html	etag:%227d9e0872d26fd1697b28f2cfe34df52b%22	https://greenlly.framer.website/service/shrub-trimming	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/service/shrub-trimming.html	(from https://greenlly.framer.website/)
12:23:31	278630/278630	---M-Z	200	added ('OK')	text/html	etag:%22fab1efd419860cfb543fa96bd159944c%22	https://greenlly.framer.website/service/garden-maintenance	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/service/garden-maintenance.html	(from https://greenlly.framer.website/)
12:23:31	3947791/3947791	---MC-	200	added ('OK')	image/png	etag:%22201ab3a36eeac37e45d0aac91fe237e0%22	https://framerusercontent.com/images/UQZ7lJtXhzD71REO0pDw6udHM.png?width=4000&height=2324	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/UQZ7lJtXhzD71REO0pDw6udHMb181.png	(from https://greenlly.framer.website/)
12:23:35	1430670/1430670	---MC-	200	added ('OK')	image/png	etag:%22b4479ae3353f04ed827b3525d976fb10%22	https://framerusercontent.com/images/SOAPBsN6nRJtA1s4YrsHNxI4.png?width=1552&height=1812	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/SOAPBsN6nRJtA1s4YrsHNxI42236.png	(from https://greenlly.framer.website/)
12:23:35	279441/279441	---M-Z	200	added ('OK')	text/html	etag:%2228db33fabb53980abfd64eb82a31e3c2%22	https://greenlly.framer.website/service/landscaping-design	C:/My%20Web%20Sites/lawncare%202/greenlly.framer.website/service/landscaping-design.html	(from https://greenlly.framer.website/)
12:23:42	1288129/1288129	---MC-	200	added ('OK')	image/png	etag:%224591900193fc81ff415d31ca9669e638%22	https://framerusercontent.com/images/7yTh0Yy1qDG99oDCyLOfAwEUcnc.png?width=1552&height=1812	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/7yTh0Yy1qDG99oDCyLOfAwEUcnc2236.png	(from https://greenlly.framer.website/)
12:23:42	675196/675196	---MC-	200	added ('OK')	image/png	etag:%221a8cf4a89fd6020d5ec81e97ffd7f83e%22	https://framerusercontent.com/images/eFct4maQ59FVCtrNpvco7tzSoU.png?width=1420&height=1132	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/eFct4maQ59FVCtrNpvco7tzSoU5a31.png	(from https://greenlly.framer.website/)
12:23:42	164322/164322	---MC-	200	added ('OK')	image/png	etag:%22102aab0702224f01ec901844dd921fd8%22	https://framerusercontent.com/images/fRlBp2rgkdUxaqEsVKVfHm9EjV0.png?width=538&height=572	C:/My%20Web%20Sites/lawncare%202/framerusercontent.com/images/fRlBp2rgkdUxaqEsVKVfHm9EjV0ee3b.png	(from https://greenlly.framer.website/)
